0.455,15,0.095,0.514,0.2245,0.101,0.15,0.365
0.35,7,0.09,0.2255,0.0995,0.0485,0.07,0.265
0.44,10,0.125,0.516,0.2155,0.114,0.155,0.365
0.475,9,0.125,0.5095,0.2165,0.1125,0.165,0.37
0.43,10,0.11,0.406,0.1675,0.081,0.135,0.35
0.49,11,0.135,0.5415,0.2175,0.095,0.19,0.38
0.5,12,0.13,0.6645,0.258,0.133,0.24,0.4
0.365,7,0.08,0.2555,0.097,0.043,0.1,0.295
0.45,9,0.1,0.381,0.1705,0.075,0.115,0.32
0.355,11,0.095,0.2455,0.0955,0.062,0.075,0.28
0.59,12,0.14,0.931,0.356,0.234,0.28,0.445
0.605,15,0.18,0.9365,0.394,0.219,0.295,0.475
0.575,11,0.14,0.8635,0.393,0.227,0.2,0.425
0.58,10,0.165,0.9975,0.3935,0.242,0.33,0.47
0.665,18,0.165,1.338,0.5515,0.3575,0.35,0.525
0.465,8,0.105,0.4795,0.227,0.124,0.125,0.355
0.355,9,0.09,0.3275,0.134,0.086,0.09,0.29
0.47,9,0.12,0.5795,0.293,0.227,0.14,0.37
0.4,7,0.095,0.303,0.1335,0.06,0.1,0.32
0.485,10,0.13,0.5415,0.2595,0.096,0.16,0.36
0.405,7,0.1,0.385,0.173,0.0915,0.11,0.31
0.445,8,0.12,0.4425,0.192,0.0955,0.135,0.35
0.47,8,0.135,0.5895,0.2765,0.12,0.17,0.385
0.45,7,0.105,0.4115,0.18,0.1125,0.135,0.345
0.505,9,0.11,0.625,0.305,0.16,0.175,0.405
0.425,7,0.095,0.3785,0.1705,0.08,0.1,0.325
0.52,8,0.12,0.58,0.234,0.1315,0.185,0.4
0.475,8,0.12,0.48,0.234,0.1015,0.135,0.355
0.555,13,0.13,0.7665,0.264,0.168,0.275,0.425
0.57,11,0.175,1.185,0.474,0.261,0.38,0.48
0.595,9,0.14,0.944,0.3625,0.189,0.315,0.475
0.62,12,0.175,1.615,0.5105,0.192,0.675,0.51
0.595,21,0.16,1.3175,0.408,0.234,0.58,0.475
0.58,14,0.14,1.013,0.38,0.216,0.36,0.45
0.625,13,0.14,1.195,0.4825,0.205,0.4,0.465
0.56,10,0.16,0.8645,0.3305,0.2075,0.26,0.44
0.565,15,0.135,0.8115,0.341,0.1675,0.255,0.425
0.555,12,0.15,0.755,0.307,0.1525,0.26,0.44
0.595,13,0.175,1.115,0.4015,0.254,0.39,0.465
0.695,15,0.19,1.494,0.588,0.3425,0.485,0.56
0.665,14,0.195,1.606,0.5755,0.388,0.48,0.535
0.535,9,0.15,0.725,0.269,0.1385,0.25,0.435
0.47,8,0.13,0.523,0.214,0.132,0.145,0.375
0.47,7,0.13,0.5225,0.201,0.133,0.165,0.37
0.55,15,0.145,0.843,0.328,0.1915,0.255,0.435
0.53,15,0.16,0.883,0.316,0.164,0.335,0.435
0.53,10,0.14,0.724,0.3105,0.1675,0.205,0.415
0.605,12,0.16,1.1735,0.4975,0.2405,0.345,0.47
0.495,9,0.125,0.5415,0.2375,0.1345,0.155,0.395
0.465,9,0.105,0.431,0.172,0.107,0.175,0.36
0.425,9,0.105,0.393,0.13,0.063,0.165,0.35
0.44,10,0.105,0.402,0.1305,0.0955,0.165,0.34
0.405,8,0.085,0.2605,0.1145,0.0595,0.085,0.305
0.37,6,0.075,0.214,0.09,0.051,0.07,0.265
0.7,19,0.16,1.7255,0.63,0.2635,0.54,0.535
0.71,18,0.165,1.959,0.7665,0.261,0.78,0.54
0.595,17,0.165,1.262,0.4835,0.283,0.41,0.48
0.345,9,0.09,0.2005,0.094,0.0295,0.063,0.255
0.375,9,0.095,0.253,0.096,0.0575,0.0925,0.285
0.65,16,0.19,1.3445,0.519,0.306,0.4465,0.52
0.56,11,0.155,0.797,0.34,0.19,0.2425,0.455
0.475,10,0.13,0.5175,0.2075,0.1165,0.17,0.375
